## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657881/SRR7657881.bam OUTPUT=salmon/SRR7657881/SRR7657881.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8589907800	8367809633		7995010953	0	0	372798680	0	0	0	13135411	13110105	478269	0.500482	0.499518		0.955448	0	0	0.044552	0.955448	0.930745	0	0.553154	0.102817	0.203584	0.475297			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.015656
1	0.058753
2	0.139664
3	0.227551
4	0.319649
5	0.410488
6	0.496151
7	0.57136
8	0.639092
9	0.706096
10	0.770128
11	0.822253
12	0.870252
13	0.904331
14	0.940362
15	0.982319
16	1.017639
17	1.04784
18	1.078585
19	1.109612
20	1.132741
21	1.151061
22	1.168003
23	1.178697
24	1.188567
25	1.19822
26	1.207047
27	1.215995
28	1.223704
29	1.232506
30	1.242081
31	1.253228
32	1.262755
33	1.269028
34	1.27157
35	1.266826
36	1.264325
37	1.26346
38	1.266074
39	1.266402
40	1.265418
41	1.26453
42	1.26528
43	1.26521
44	1.268903
45	1.269324
46	1.273859
47	1.271374
48	1.271008
49	1.271376
50	1.268718
51	1.266436
52	1.264967
53	1.259232
54	1.252085
55	1.247826
56	1.243377
57	1.237661
58	1.231583
59	1.223919
60	1.215852
61	1.207529
62	1.195707
63	1.190667
64	1.187287
65	1.182731
66	1.180492
67	1.175664
68	1.166931
69	1.153981
70	1.14996
71	1.142809
72	1.136607
73	1.128685
74	1.118022
75	1.110417
76	1.099419
77	1.091723
78	1.081254
79	1.068654
80	1.054343
81	1.035492
82	1.016139
83	0.996619
84	0.972685
85	0.943232
86	0.917111
87	0.881126
88	0.844448
89	0.80264
90	0.76587
91	0.727768
92	0.678552
93	0.617402
94	0.552118
95	0.473982
96	0.385626
97	0.291645
98	0.193493
99	0.097027
100	0.02343

