## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657878/SRR7657878.bam OUTPUT=salmon/SRR7657878/SRR7657878.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8724264600	8529916292		8237619588	0	0	292296704	0	0	0	13527901	13510906	493745	0.500314	0.499686		0.965733	0	0	0.034267	0.965733	0.944219	0	0.55908	0.097899	0.193877	0.475421			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.016284
1	0.060184
2	0.140014
3	0.226271
4	0.316373
5	0.408207
6	0.491954
7	0.564872
8	0.63453
9	0.70537
10	0.771738
11	0.827238
12	0.877073
13	0.911644
14	0.945272
15	0.982575
16	1.015127
17	1.045558
18	1.074417
19	1.100068
20	1.119281
21	1.13906
22	1.155479
23	1.167756
24	1.179128
25	1.189949
26	1.200294
27	1.21217
28	1.221933
29	1.231846
30	1.245678
31	1.261912
32	1.275345
33	1.285349
34	1.290127
35	1.28651
36	1.282469
37	1.276922
38	1.275601
39	1.275365
40	1.27287
41	1.270081
42	1.270528
43	1.269886
44	1.271035
45	1.273799
46	1.280931
47	1.276607
48	1.275988
49	1.275447
50	1.270562
51	1.265881
52	1.264019
53	1.258171
54	1.252465
55	1.247772
56	1.243185
57	1.238888
58	1.233712
59	1.228257
60	1.221513
61	1.215519
62	1.206846
63	1.202559
64	1.199831
65	1.194351
66	1.191074
67	1.185189
68	1.1754
69	1.160468
70	1.154608
71	1.148314
72	1.140534
73	1.131591
74	1.120385
75	1.112924
76	1.100738
77	1.092681
78	1.079513
79	1.063749
80	1.047459
81	1.026814
82	1.004135
83	0.983456
84	0.960079
85	0.932394
86	0.906363
87	0.872165
88	0.837068
89	0.794522
90	0.754884
91	0.713644
92	0.664678
93	0.602676
94	0.536983
95	0.457829
96	0.374629
97	0.285992
98	0.18959
99	0.094041
100	0.02259

