## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657874/SRR7657874.bam OUTPUT=salmon/SRR7657874/SRR7657874.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
7636139400	7433305104		7118643121	0	0	314661983	0	0	0	11679157	11665611	459874	0.50029	0.49971		0.957669	0	0	0.042331	0.957669	0.932231	0	0.566947	0.103664	0.158437	0.598622			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.016139
1	0.059348
2	0.138638
3	0.223785
4	0.314082
5	0.403415
6	0.48979
7	0.567479
8	0.639526
9	0.712029
10	0.782687
11	0.842253
12	0.896531
13	0.933778
14	0.971277
15	1.011426
16	1.045802
17	1.075107
18	1.104294
19	1.131597
20	1.153961
21	1.17188
22	1.189065
23	1.201295
24	1.212854
25	1.22334
26	1.231508
27	1.241631
28	1.250413
29	1.25674
30	1.268035
31	1.28211
32	1.292992
33	1.300989
34	1.303164
35	1.299251
36	1.294691
37	1.290286
38	1.290682
39	1.290079
40	1.288467
41	1.28826
42	1.290658
43	1.290057
44	1.289016
45	1.286651
46	1.289593
47	1.284897
48	1.283983
49	1.285939
50	1.285098
51	1.283235
52	1.281981
53	1.27563
54	1.272029
55	1.269216
56	1.265562
57	1.260003
58	1.25408
59	1.245584
60	1.238063
61	1.233822
62	1.224199
63	1.216715
64	1.213287
65	1.207657
66	1.201508
67	1.191414
68	1.178565
69	1.160029
70	1.152065
71	1.140414
72	1.129425
73	1.118223
74	1.103187
75	1.090692
76	1.07438
77	1.06258
78	1.047307
79	1.032324
80	1.018589
81	0.997427
82	0.974276
83	0.952006
84	0.924895
85	0.889411
86	0.86191
87	0.8245
88	0.784142
89	0.739163
90	0.696135
91	0.650497
92	0.598977
93	0.535483
94	0.471435
95	0.397809
96	0.314918
97	0.230553
98	0.147088
99	0.069517
100	0.015961

