## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657876/SRR7657876.bam OUTPUT=salmon/SRR7657876/SRR7657876.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:39 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9048452100	8852374254		8555881337	0	0	296492917	0	0	0	14054697	14024382	517186	0.50054	0.49946		0.966507	0	0	0.033493	0.966507	0.945563	0	0.571005	0.101135	0.17479	0.567414			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.017358
1	0.063657
2	0.146963
3	0.234946
4	0.328271
5	0.421629
6	0.507555
7	0.583656
8	0.654223
9	0.725836
10	0.794425
11	0.851424
12	0.903977
13	0.939011
14	0.974045
15	1.014839
16	1.046616
17	1.074991
18	1.106345
19	1.133876
20	1.153266
21	1.171545
22	1.18482
23	1.193326
24	1.203398
25	1.211904
26	1.220346
27	1.230208
28	1.238503
29	1.246654
30	1.257923
31	1.272527
32	1.284392
33	1.295006
34	1.297749
35	1.291168
36	1.285122
37	1.280919
38	1.279
39	1.275128
40	1.272317
41	1.26943
42	1.268738
43	1.268064
44	1.269044
45	1.268455
46	1.272814
47	1.270934
48	1.27121
49	1.269279
50	1.266241
51	1.26239
52	1.26001
53	1.25301
54	1.247086
55	1.244
56	1.242153
57	1.239994
58	1.237516
59	1.232308
60	1.225504
61	1.217369
62	1.208625
63	1.20357
64	1.201554
65	1.195674
66	1.189091
67	1.181787
68	1.17029
69	1.153997
70	1.14799
71	1.139793
72	1.128601
73	1.11827
74	1.105318
75	1.094457
76	1.080493
77	1.07104
78	1.057624
79	1.042605
80	1.027686
81	1.005826
82	0.98356
83	0.962789
84	0.936707
85	0.905734
86	0.876823
87	0.839498
88	0.803735
89	0.763181
90	0.726079
91	0.684654
92	0.635819
93	0.576739
94	0.513732
95	0.435478
96	0.353427
97	0.266095
98	0.172421
99	0.082713
100	0.019418

