## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657875/SRR7657875.bam OUTPUT=salmon/SRR7657875/SRR7657875.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9373647900	9189859112		8940037599	0	0	249821513	0	0	0	14683345	14670422	529986	0.50022	0.49978		0.972816	0	0	0.027184	0.972816	0.953742	0	0.582312	0.099408	0.163949	0.560671			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.015797
1	0.057298
2	0.135183
3	0.221643
4	0.312569
5	0.403603
6	0.487907
7	0.559804
8	0.626581
9	0.694395
10	0.761787
11	0.819991
12	0.873611
13	0.910104
14	0.946991
15	0.983076
16	1.017371
17	1.047805
18	1.076847
19	1.105197
20	1.126424
21	1.142981
22	1.157636
23	1.169782
24	1.182588
25	1.194248
26	1.203728
27	1.213189
28	1.221994
29	1.231995
30	1.243453
31	1.257964
32	1.270674
33	1.28404
34	1.289038
35	1.284807
36	1.280996
37	1.278697
38	1.278938
39	1.279059
40	1.27989
41	1.279764
42	1.282455
43	1.284488
44	1.289372
45	1.29065
46	1.296839
47	1.29501
48	1.295025
49	1.2945
50	1.290644
51	1.287349
52	1.285969
53	1.278898
54	1.270282
55	1.263834
56	1.259715
57	1.254302
58	1.249561
59	1.244705
60	1.238425
61	1.232701
62	1.221396
63	1.215278
64	1.21446
65	1.207879
66	1.201222
67	1.191639
68	1.178071
69	1.161877
70	1.154058
71	1.144761
72	1.133626
73	1.123038
74	1.111786
75	1.104199
76	1.091979
77	1.083221
78	1.069895
79	1.053976
80	1.035946
81	1.013822
82	0.991927
83	0.972786
84	0.94979
85	0.92115
86	0.898149
87	0.865923
88	0.828913
89	0.787583
90	0.744973
91	0.69837
92	0.64573
93	0.580064
94	0.512242
95	0.430406
96	0.343121
97	0.252366
98	0.160841
99	0.076331
100	0.01759

