## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657875/SRR7657875.sorted.bam] OUTPUT=salmon/SRR7657875/SRR7657875.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657875/SRR7657875.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:49 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1223027	30022466	93126789	3111186	715142	7274609	0	0.249141	51477515

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	18571558	18571558
2.0	1.558101	3124294	3124294
3.0	1.869578	612815	612815
4.0	2.043414	184108	184108
5.0	2.140431	81189	81189
6.0	2.194577	45045	45045
7.0	2.224796	28386	28386
8.0	2.241661	18856	18856
9.0	2.251074	13802	13802
10.0	2.256327	10423	10423
11.0	2.259258	8050	8050
12.0	2.260895	6325	6325
13.0	2.261808	5170	5170
14.0	2.262317	4331	4331
15.0	2.262602	3507	3507
16.0	2.262761	3033	3033
17.0	2.262849	2463	2463
18.0	2.262899	2163	2163
19.0	2.262926	1908	1908
20.0	2.262942	1594	1594
21.0	2.26295	1340	1340
22.0	2.262955	1211	1211
23.0	2.262958	1129	1129
24.0	2.262959	1042	1042
25.0	2.26296	944	944
26.0	2.26296	815	815
27.0	2.262961	709	709
28.0	2.262961	713	713
29.0	2.262961	617	617
30.0	2.262961	634	634
31.0	2.262961	544	544
32.0	2.262961	459	459
33.0	2.262961	422	422
34.0	2.262961	378	378
35.0	2.262961	392	392
36.0	2.262961	361	361
37.0	2.262961	352	352
38.0	2.262961	307	307
39.0	2.262961	277	277
40.0	2.262961	268	268
41.0	2.262961	286	286
42.0	2.262961	225	225
43.0	2.262961	212	212
44.0	2.262961	203	203
45.0	2.262961	205	205
46.0	2.262961	183	183
47.0	2.262961	188	188
48.0	2.262961	194	194
49.0	2.262961	157	157
50.0	2.262961	149	149
51.0	2.262961	125	125
52.0	2.262961	133	133
53.0	2.262961	132	132
54.0	2.262961	115	115
55.0	2.262961	99	99
56.0	2.262961	107	107
57.0	2.262961	104	104
58.0	2.262961	94	94
59.0	2.262961	87	87
60.0	2.262961	87	87
61.0	2.262961	84	84
62.0	2.262961	93	93
63.0	2.262961	54	54
64.0	2.262961	68	68
65.0	2.262961	67	67
66.0	2.262961	67	67
67.0	2.262961	65	65
68.0	2.262961	70	70
69.0	2.262961	57	57
70.0	2.262961	61	61
71.0	2.262961	50	50
72.0	2.262961	39	39
73.0	2.262961	47	47
74.0	2.262961	47	47
