## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657880/SRR7657880.bam OUTPUT=salmon/SRR7657880/SRR7657880.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8452110600	8234767608		7895981481	0	0	338786127	0	0	0	12966731	12940365	481986	0.500509	0.499491		0.958859	0	0	0.041141	0.958859	0.934202	0	0.552224	0.099038	0.182362	0.536952			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.016932
1	0.06318
2	0.149898
3	0.24062
4	0.331094
5	0.419636
6	0.503043
7	0.575368
8	0.644028
9	0.710874
10	0.774253
11	0.828058
12	0.874244
13	0.908918
14	0.943434
15	0.98003
16	1.01227
17	1.043562
18	1.072087
19	1.097761
20	1.116762
21	1.128814
22	1.140655
23	1.154758
24	1.16742
25	1.179629
26	1.190684
27	1.203097
28	1.214009
29	1.225363
30	1.236873
31	1.251202
32	1.265122
33	1.279505
34	1.285906
35	1.284498
36	1.281192
37	1.274573
38	1.271432
39	1.26876
40	1.266318
41	1.26515
42	1.266782
43	1.269166
44	1.271744
45	1.272278
46	1.277118
47	1.275094
48	1.276195
49	1.277552
50	1.276875
51	1.274241
52	1.269633
53	1.260696
54	1.253231
55	1.247559
56	1.240942
57	1.235168
58	1.230214
59	1.226893
60	1.223283
61	1.220002
62	1.213411
63	1.208893
64	1.206321
65	1.19986
66	1.195135
67	1.188354
68	1.177177
69	1.163092
70	1.156768
71	1.147748
72	1.141224
73	1.133124
74	1.121372
75	1.111119
76	1.097254
77	1.08834
78	1.075746
79	1.059575
80	1.043702
81	1.025648
82	1.007045
83	0.987249
84	0.964639
85	0.937005
86	0.910529
87	0.874978
88	0.840142
89	0.799968
90	0.763468
91	0.723715
92	0.673325
93	0.610773
94	0.543709
95	0.46252
96	0.373597
97	0.279558
98	0.182626
99	0.088845
100	0.021044

