## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657882/SRR7657882.bam OUTPUT=salmon/SRR7657882/SRR7657882.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:39 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10755949200	10510933611		10092521557	0	0	418412054	0	0	0	16613527	16574753	542357	0.500584	0.499416		0.960193	0	0	0.039807	0.960193	0.93832	0	0.539737	0.117854	0.167	0.681607			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.020115
1	0.072351
2	0.162759
3	0.255849
4	0.351645
5	0.445086
6	0.530002
7	0.603164
8	0.672697
9	0.74299
10	0.807951
11	0.861545
12	0.910145
13	0.945134
14	0.980061
15	1.019626
16	1.05329
17	1.082518
18	1.110611
19	1.136751
20	1.159453
21	1.175334
22	1.189523
23	1.19749
24	1.204319
25	1.21279
26	1.219582
27	1.225195
28	1.229505
29	1.234316
30	1.242539
31	1.255353
32	1.26606
33	1.275016
34	1.277685
35	1.272189
36	1.268722
37	1.265537
38	1.266134
39	1.266519
40	1.264027
41	1.263077
42	1.265639
43	1.265929
44	1.268598
45	1.269627
46	1.273397
47	1.271553
48	1.272016
49	1.271787
50	1.26953
51	1.264787
52	1.261647
53	1.256149
54	1.2487
55	1.245637
56	1.242411
57	1.241304
58	1.239951
59	1.234582
60	1.226802
61	1.220578
62	1.210035
63	1.20507
64	1.202544
65	1.195238
66	1.187789
67	1.179393
68	1.168709
69	1.154043
70	1.147967
71	1.138709
72	1.128431
73	1.11905
74	1.106183
75	1.096129
76	1.081541
77	1.070764
78	1.055452
79	1.036775
80	1.017942
81	0.997159
82	0.974916
83	0.956336
84	0.932839
85	0.902182
86	0.877552
87	0.844145
88	0.809472
89	0.769675
90	0.730188
91	0.685883
92	0.634715
93	0.570548
94	0.505052
95	0.427431
96	0.344291
97	0.256183
98	0.1637
99	0.078101
100	0.018199

