## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657882/SRR7657882.sorted.bam] OUTPUT=salmon/SRR7657882/SRR7657882.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657882/SRR7657882.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:51 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1630745	34222419	106637631	4055118	845396	9968351	0	0.296567	46675948

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	18517409	18517409
2.0	1.480373	4064717	4064717
3.0	1.711132	1020616	1020616
4.0	1.821982	316217	316217
5.0	1.875232	124918	124918
6.0	1.900811	60124	60124
7.0	1.913099	35189	35189
8.0	1.919002	22689	22689
9.0	1.921837	16093	16093
10.0	1.923199	11658	11658
11.0	1.923854	9031	9031
12.0	1.924168	7088	7088
13.0	1.924319	5772	5772
14.0	1.924391	4642	4642
15.0	1.924426	3859	3859
16.0	1.924443	3290	3290
17.0	1.924451	2855	2855
18.0	1.924455	2372	2372
19.0	1.924457	2118	2118
20.0	1.924458	1848	1848
21.0	1.924458	1537	1537
22.0	1.924458	1391	1391
23.0	1.924458	1221	1221
24.0	1.924458	1084	1084
25.0	1.924459	1051	1051
26.0	1.924459	1000	1000
27.0	1.924459	830	830
28.0	1.924459	778	778
29.0	1.924459	669	669
30.0	1.924459	667	667
31.0	1.924459	598	598
32.0	1.924459	562	562
33.0	1.924459	493	493
34.0	1.924459	455	455
35.0	1.924459	441	441
36.0	1.924459	420	420
37.0	1.924459	358	358
38.0	1.924459	352	352
39.0	1.924459	366	366
40.0	1.924459	307	307
41.0	1.924459	285	285
42.0	1.924459	269	269
43.0	1.924459	248	248
44.0	1.924459	231	231
45.0	1.924459	218	218
46.0	1.924459	214	214
47.0	1.924459	193	193
48.0	1.924459	201	201
49.0	1.924459	194	194
50.0	1.924459	182	182
51.0	1.924459	166	166
52.0	1.924459	154	154
53.0	1.924459	141	141
54.0	1.924459	149	149
55.0	1.924459	133	133
56.0	1.924459	132	132
57.0	1.924459	140	140
58.0	1.924459	119	119
59.0	1.924459	115	115
60.0	1.924459	103	103
61.0	1.924459	98	98
62.0	1.924459	97	97
63.0	1.924459	81	81
64.0	1.924459	79	79
65.0	1.924459	78	78
66.0	1.924459	71	71
67.0	1.924459	84	84
68.0	1.924459	54	54
69.0	1.924459	82	82
70.0	1.924459	78	78
71.0	1.924459	65	65
72.0	1.924459	62	62
73.0	1.924459	62	62
74.0	1.924459	48	48
75.0	1.924459	52	52
76.0	1.924459	55	55
77.0	1.924459	52	52
78.0	1.924459	52	52
79.0	1.924459	53	53
80.0	1.924459	50	50
81.0	1.924459	45	45
82.0	1.924459	29	29
83.0	1.924459	42	42
84.0	1.924459	43	43
85.0	1.924459	34	34
86.0	1.924459	39	39
87.0	1.924459	41	41
88.0	1.924459	38	38
89.0	1.924459	36	36
90.0	1.924459	39	39
91.0	1.924459	31	31
92.0	1.924459	37	37
93.0	1.924459	40	40
94.0	1.924459	29	29
95.0	1.924459	33	33
96.0	1.924459	30	30
97.0	1.924459	27	27
98.0	1.924459	28	28
99.0	1.924459	26	26
100.0	1.924459	23	23
101.0	0	26	26
102.0	0	31	31
103.0	0	26	26
104.0	0	28	28
105.0	0	24	24
106.0	0	13	13
107.0	0	25	25
108.0	0	18	18
109.0	0	23	23
110.0	0	14	14
111.0	0	19	19
112.0	0	22	22
113.0	0	24	24
114.0	0	17	17
115.0	0	22	22
116.0	0	18	18
117.0	0	17	17
118.0	0	22	22
119.0	0	9	9
120.0	0	18	18
121.0	0	16	16
122.0	0	21	21
123.0	0	27	27
124.0	0	16	16
125.0	0	24	24
126.0	0	10	10
127.0	0	13	13
128.0	0	14	14
129.0	0	10	10
130.0	0	9	9
131.0	0	14	14
132.0	0	12	12
133.0	0	13	13
134.0	0	11	11
135.0	0	16	16
136.0	0	7	7
137.0	0	9	9
138.0	0	10	10
139.0	0	14	14
140.0	0	8	8
141.0	0	17	17
142.0	0	10	10
143.0	0	13	13
144.0	0	12	12
145.0	0	7	7
146.0	0	12	12
147.0	0	12	12
148.0	0	8	8
149.0	0	5	5
150.0	0	9	9
151.0	0	6	6
152.0	0	7	7
153.0	0	8	8
154.0	0	12	12
155.0	0	9	9
156.0	0	7	7
157.0	0	5	5
158.0	0	14	14
159.0	0	7	7
160.0	0	2	2
161.0	0	5	5
162.0	0	5	5
163.0	0	7	7
164.0	0	8	8
165.0	0	5	5
166.0	0	3	3
167.0	0	13	13
168.0	0	5	5
169.0	0	5	5
170.0	0	9	9
171.0	0	8	8
172.0	0	5	5
173.0	0	7	7
174.0	0	5	5
175.0	0	8	8
176.0	0	5	5
177.0	0	5	5
178.0	0	3	3
