## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657879/SRR7657879.bam OUTPUT=salmon/SRR7657879/SRR7657879.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8628543600	8423050586		8093210611	0	0	329839975	0	0	0	13284957	13262984	494630	0.500414	0.499586		0.960841	0	0	0.039159	0.960841	0.937958	0	0.576732	0.101333	0.166994	0.576802			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.017576
1	0.063765
2	0.147408
3	0.235552
4	0.328434
5	0.422747
6	0.510846
7	0.588191
8	0.659936
9	0.734802
10	0.804907
11	0.862025
12	0.913967
13	0.947554
14	0.982734
15	1.022513
16	1.057029
17	1.086788
18	1.115684
19	1.141171
20	1.161478
21	1.17968
22	1.193948
23	1.20256
24	1.21125
25	1.221523
26	1.231695
27	1.240563
28	1.24578
29	1.249429
30	1.257087
31	1.268662
32	1.27898
33	1.289066
34	1.291762
35	1.285057
36	1.28004
37	1.276033
38	1.275404
39	1.275889
40	1.274916
41	1.274591
42	1.274788
43	1.275578
44	1.279177
45	1.281874
46	1.287617
47	1.283111
48	1.281992
49	1.279064
50	1.27533
51	1.272184
52	1.272529
53	1.266923
54	1.261132
55	1.257852
56	1.253055
57	1.246691
58	1.242246
59	1.234085
60	1.225131
61	1.216102
62	1.20234
63	1.192982
64	1.189631
65	1.185224
66	1.180562
67	1.172764
68	1.161048
69	1.144377
70	1.137867
71	1.12856
72	1.11858
73	1.11013
74	1.099435
75	1.087391
76	1.074539
77	1.065317
78	1.051929
79	1.038019
80	1.021752
81	1.001493
82	0.980558
83	0.959602
84	0.932231
85	0.901953
86	0.872782
87	0.834685
88	0.796263
89	0.750796
90	0.709617
91	0.668725
92	0.61956
93	0.558249
94	0.492987
95	0.417106
96	0.337427
97	0.253931
98	0.163987
99	0.078275
100	0.017994

