## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657877/SRR7657877.bam OUTPUT=salmon/SRR7657877/SRR7657877.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9735684000	9499080165		9120374318	0	0	378705847	0	0	0	14977306	14957279	529773	0.500335	0.499665		0.960132	0	0	0.039868	0.960132	0.936799	0	0.526008	0.10524	0.197577	0.547666			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.018446
1	0.070379
2	0.161899
3	0.256003
4	0.349372
5	0.440811
6	0.523698
7	0.594246
8	0.660825
9	0.726293
10	0.787554
11	0.838887
12	0.881119
13	0.914994
14	0.945325
15	0.976684
16	1.002967
17	1.028244
18	1.053851
19	1.080275
20	1.099762
21	1.115191
22	1.13077
23	1.145893
24	1.160101
25	1.171511
26	1.181739
27	1.191976
28	1.198576
29	1.206224
30	1.21718
31	1.233351
32	1.247615
33	1.259312
34	1.265248
35	1.263436
36	1.260593
37	1.255024
38	1.254237
39	1.253627
40	1.252115
41	1.24977
42	1.251936
43	1.253814
44	1.25793
45	1.259043
46	1.264332
47	1.261454
48	1.261933
49	1.262673
50	1.260499
51	1.257888
52	1.2553
53	1.249587
54	1.242884
55	1.23829
56	1.234632
57	1.231053
58	1.228403
59	1.224416
60	1.217986
61	1.213892
62	1.208058
63	1.205451
64	1.204706
65	1.200098
66	1.196091
67	1.188732
68	1.179705
69	1.166081
70	1.16054
71	1.150662
72	1.144575
73	1.137861
74	1.12775
75	1.120133
76	1.109164
77	1.101097
78	1.088508
79	1.070924
80	1.051794
81	1.033018
82	1.014177
83	0.997373
84	0.975453
85	0.949939
86	0.925803
87	0.891789
88	0.860729
89	0.8225
90	0.786441
91	0.744106
92	0.694879
93	0.634709
94	0.569887
95	0.490582
96	0.402206
97	0.304875
98	0.20017
99	0.098862
100	0.024067

