## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657883/SRR7657883.sorted.bam] OUTPUT=salmon/SRR7657883/SRR7657883.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657883/SRR7657883.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:51 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1119584	25704681	79297039	2847377	573291	6198241	0	0.246907	44334308

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	15952529	15952529
2.0	1.560015	2692552	2692552
3.0	1.873631	509300	509300
4.0	2.049261	145758	145758
5.0	2.147617	63036	63036
6.0	2.202697	35406	35406
7.0	2.233543	22353	22353
8.0	2.250817	15253	15253
9.0	2.260491	11345	11345
10.0	2.265908	8641	8641
11.0	2.268942	6616	6616
12.0	2.270641	5343	5343
13.0	2.271593	4375	4375
14.0	2.272125	3539	3539
15.0	2.272424	2966	2966
16.0	2.272591	2528	2528
17.0	2.272685	2134	2134
18.0	2.272737	1882	1882
19.0	2.272766	1632	1632
20.0	2.272783	1492	1492
21.0	2.272792	1238	1238
22.0	2.272797	1174	1174
23.0	2.2728	963	963
24.0	2.272802	951	951
25.0	2.272802	845	845
26.0	2.272803	740	740
27.0	2.272803	690	690
28.0	2.272803	608	608
29.0	2.272804	525	525
30.0	2.272804	556	556
31.0	2.272804	508	508
32.0	2.272804	485	485
33.0	2.272804	442	442
34.0	2.272804	399	399
35.0	2.272804	351	351
36.0	2.272804	354	354
37.0	2.272804	321	321
38.0	2.272804	325	325
39.0	2.272804	274	274
40.0	2.272804	259	259
41.0	2.272804	253	253
42.0	2.272804	219	219
43.0	2.272804	198	198
44.0	2.272804	173	173
45.0	2.272804	198	198
46.0	2.272804	196	196
47.0	2.272804	155	155
48.0	2.272804	141	141
49.0	2.272804	131	131
50.0	2.272804	132	132
51.0	2.272804	136	136
52.0	2.272804	139	139
53.0	2.272804	122	122
54.0	2.272804	113	113
55.0	2.272804	102	102
56.0	2.272804	114	114
57.0	2.272804	96	96
58.0	2.272804	84	84
59.0	2.272804	87	87
60.0	2.272804	76	76
61.0	2.272804	106	106
62.0	2.272804	78	78
63.0	2.272804	67	67
64.0	2.272804	67	67
65.0	2.272804	69	69
66.0	2.272804	64	64
67.0	2.272804	69	69
68.0	2.272804	56	56
69.0	2.272804	70	70
70.0	2.272804	61	61
71.0	2.272804	43	43
72.0	2.272804	46	46
73.0	2.272804	64	64
74.0	2.272804	40	40
75.0	2.272804	53	53
76.0	2.272804	54	54
77.0	2.272804	31	31
78.0	2.272804	54	54
79.0	2.272804	41	41
80.0	2.272804	43	43
81.0	2.272804	46	46
82.0	2.272804	31	31
83.0	2.272804	46	46
84.0	2.272804	33	33
85.0	2.272804	41	41
86.0	2.272804	28	28
87.0	2.272804	29	29
88.0	2.272804	37	37
89.0	2.272804	28	28
90.0	2.272804	28	28
91.0	2.272804	26	26
92.0	2.272804	35	35
93.0	2.272804	33	33
94.0	2.272804	30	30
95.0	2.272804	26	26
96.0	2.272804	25	25
97.0	2.272804	27	27
98.0	2.272804	23	23
99.0	2.272804	23	23
100.0	2.272804	24	24
101.0	0	15	15
102.0	0	23	23
103.0	0	21	21
104.0	0	22	22
105.0	0	21	21
106.0	0	17	17
107.0	0	13	13
108.0	0	20	20
109.0	0	15	15
110.0	0	14	14
111.0	0	13	13
112.0	0	13	13
113.0	0	21	21
114.0	0	16	16
115.0	0	18	18
116.0	0	19	19
117.0	0	12	12
118.0	0	12	12
119.0	0	23	23
120.0	0	9	9
121.0	0	6	6
122.0	0	8	8
123.0	0	12	12
124.0	0	9	9
125.0	0	14	14
126.0	0	19	19
127.0	0	8	8
128.0	0	8	8
129.0	0	9	9
130.0	0	12	12
131.0	0	15	15
132.0	0	11	11
133.0	0	10	10
134.0	0	9	9
135.0	0	6	6
136.0	0	10	10
137.0	0	14	14
138.0	0	11	11
139.0	0	10	10
140.0	0	9	9
141.0	0	5	5
142.0	0	13	13
143.0	0	3	3
144.0	0	7	7
145.0	0	8	8
