## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657883/SRR7657883.bam OUTPUT=salmon/SRR7657883/SRR7657883.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:39 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8047279500	7879040399		7606585481	0	0	272454918	0	0	0	12510427	12483449	431451	0.50054	0.49946		0.96542	0	0	0.03458	0.96542	0.945237	0	0.570425	0.110134	0.157442	0.687034			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.018461
1	0.068555
2	0.156118
3	0.252074
4	0.352103
5	0.447651
6	0.53713
7	0.615831
8	0.688602
9	0.762721
10	0.830791
11	0.885108
12	0.937415
13	0.973747
14	1.011419
15	1.054875
16	1.089198
17	1.119912
18	1.149678
19	1.175132
20	1.198873
21	1.218284
22	1.232907
23	1.241614
24	1.250297
25	1.259167
26	1.269897
27	1.276382
28	1.279163
29	1.279331
30	1.284788
31	1.291473
32	1.295379
33	1.30075
34	1.30255
35	1.293712
36	1.287388
37	1.284046
38	1.284561
39	1.285392
40	1.286743
41	1.288695
42	1.291054
43	1.290274
44	1.288943
45	1.286701
46	1.287473
47	1.283819
48	1.283068
49	1.279689
50	1.277397
51	1.273202
52	1.268881
53	1.263238
54	1.254712
55	1.249525
56	1.244976
57	1.241462
58	1.237986
59	1.230739
60	1.223357
61	1.217098
62	1.206202
63	1.200029
64	1.196352
65	1.187349
66	1.17884
67	1.166237
68	1.152814
69	1.13346
70	1.125007
71	1.114741
72	1.102581
73	1.090072
74	1.076516
75	1.063128
76	1.045858
77	1.032042
78	1.013751
79	0.99539
80	0.976466
81	0.954466
82	0.931557
83	0.910526
84	0.884501
85	0.853737
86	0.825166
87	0.787469
88	0.750102
89	0.707865
90	0.668756
91	0.629775
92	0.58235
93	0.523599
94	0.461295
95	0.388618
96	0.311544
97	0.231341
98	0.148092
99	0.071217
100	0.016918

