## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657881/SRR7657881.sorted.bam] OUTPUT=salmon/SRR7657881/SRR7657881.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657881/SRR7657881.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:52 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1478583	27154443	82466877	3357906	712107	6512640	0	0.246245	47141616

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16837210	16837210
2.0	1.562132	2878294	2878294
3.0	1.878124	557217	557217
4.0	2.055754	157019	157019
5.0	2.155605	66672	66672
6.0	2.211735	36811	36811
7.0	2.243287	22893	22893
8.0	2.261023	15854	15854
9.0	2.270994	11410	11410
10.0	2.276598	8655	8655
11.0	2.279749	6673	6673
12.0	2.28152	5293	5293
13.0	2.282515	4322	4322
14.0	2.283075	3556	3556
15.0	2.28339	2979	2979
16.0	2.283567	2581	2581
17.0	2.283666	2272	2272
18.0	2.283722	1788	1788
19.0	2.283753	1529	1529
20.0	2.283771	1452	1452
21.0	2.283781	1251	1251
22.0	2.283786	1147	1147
23.0	2.283789	1021	1021
24.0	2.283791	935	935
25.0	2.283792	802	802
26.0	2.283793	691	691
27.0	2.283793	680	680
28.0	2.283793	621	621
29.0	2.283793	559	559
30.0	2.283793	536	536
31.0	2.283793	464	464
32.0	2.283794	430	430
33.0	2.283794	406	406
34.0	2.283794	379	379
35.0	2.283794	344	344
36.0	2.283794	322	322
37.0	2.283794	283	283
38.0	2.283794	316	316
39.0	2.283794	280	280
40.0	2.283794	235	235
41.0	2.283794	222	222
42.0	2.283794	237	237
43.0	2.283794	205	205
44.0	2.283794	196	196
45.0	2.283794	192	192
46.0	2.283794	166	166
47.0	2.283794	158	158
48.0	2.283794	124	124
49.0	2.283794	160	160
50.0	2.283794	139	139
51.0	2.283794	116	116
52.0	2.283794	120	120
53.0	2.283794	135	135
54.0	2.283794	120	120
55.0	2.283794	116	116
56.0	2.283794	107	107
57.0	2.283794	101	101
58.0	2.283794	95	95
59.0	2.283794	78	78
60.0	2.283794	100	100
61.0	2.283794	94	94
62.0	2.283794	69	69
63.0	2.283794	65	65
64.0	2.283794	71	71
65.0	2.283794	89	89
66.0	2.283794	64	64
67.0	2.283794	55	55
68.0	2.283794	63	63
69.0	2.283794	50	50
70.0	2.283794	54	54
71.0	2.283794	56	56
72.0	2.283794	50	50
73.0	2.283794	46	46
74.0	2.283794	38	38
75.0	2.283794	62	62
76.0	2.283794	53	53
77.0	2.283794	41	41
78.0	2.283794	44	44
79.0	2.283794	42	42
80.0	2.283794	30	30
81.0	2.283794	22	22
82.0	2.283794	31	31
83.0	2.283794	26	26
84.0	2.283794	40	40
85.0	2.283794	38	38
86.0	2.283794	35	35
87.0	2.283794	24	24
88.0	2.283794	31	31
89.0	2.283794	29	29
90.0	2.283794	21	21
91.0	2.283794	30	30
92.0	2.283794	31	31
93.0	2.283794	33	33
94.0	2.283794	30	30
95.0	2.283794	21	21
96.0	2.283794	31	31
97.0	2.283794	20	20
98.0	2.283794	18	18
99.0	2.283794	18	18
100.0	2.283794	24	24
101.0	0	22	22
102.0	0	24	24
103.0	0	19	19
104.0	0	21	21
105.0	0	25	25
106.0	0	14	14
107.0	0	24	24
108.0	0	14	14
109.0	0	20	20
110.0	0	20	20
111.0	0	11	11
112.0	0	17	17
113.0	0	16	16
114.0	0	14	14
115.0	0	9	9
116.0	0	9	9
117.0	0	13	13
118.0	0	9	9
119.0	0	17	17
120.0	0	14	14
121.0	0	10	10
122.0	0	14	14
123.0	0	10	10
124.0	0	12	12
125.0	0	8	8
126.0	0	15	15
127.0	0	10	10
128.0	0	5	5
129.0	0	11	11
130.0	0	16	16
131.0	0	15	15
132.0	0	12	12
133.0	0	8	8
134.0	0	9	9
135.0	0	7	7
136.0	0	14	14
137.0	0	11	11
138.0	0	6	6
139.0	0	6	6
140.0	0	5	5
141.0	0	7	7
142.0	0	12	12
143.0	0	8	8
144.0	0	5	5
145.0	0	6	6
146.0	0	6	6
147.0	0	4	4
148.0	0	8	8
149.0	0	6	6
150.0	0	10	10
151.0	0	5	5
152.0	0	7	7
153.0	0	5	5
154.0	0	10	10
155.0	0	5	5
156.0	0	6	6
157.0	0	4	4
158.0	0	9	9
159.0	0	2	2
160.0	0	3	3
161.0	0	7	7
162.0	0	9	9
163.0	0	3	3
164.0	0	8	8
165.0	0	5	5
166.0	0	7	7
167.0	0	3	3
168.0	0	7	7
169.0	0	5	5
170.0	0	4	4
171.0	0	2	2
172.0	0	3	3
173.0	0	5	5
174.0	0	5	5
175.0	0	4	4
176.0	0	5	5
177.0	0	4	4
178.0	0	4	4
179.0	0	3	3
180.0	0	7	7
181.0	0	4	4
182.0	0	5	5
183.0	0	2	2
184.0	0	4	4
185.0	0	4	4
186.0	0	4	4
187.0	0	3	3
188.0	0	1	1
189.0	0	3	3
190.0	0	5	5
191.0	0	5	5
192.0	0	6	6
193.0	0	6	6
194.0	0	2	2
195.0	0	3	3
196.0	0	1	1
197.0	0	3	3
198.0	0	2	2
201.0	0	5	5
202.0	0	3	3
203.0	0	1	1
204.0	0	6	6
205.0	0	3	3
206.0	0	1	1
207.0	0	3	3
208.0	0	2	2
209.0	0	5	5
210.0	0	2	2
211.0	0	2	2
212.0	0	2	2
213.0	0	2	2
214.0	0	3	3
215.0	0	3	3
217.0	0	3	3
218.0	0	2	2
219.0	0	1	1
221.0	0	1	1
222.0	0	1	1
225.0	0	4	4
226.0	0	6	6
227.0	0	3	3
228.0	0	2	2
229.0	0	2	2
230.0	0	5	5
231.0	0	1	1
232.0	0	3	3
233.0	0	2	2
234.0	0	1	1
235.0	0	2	2
236.0	0	2	2
237.0	0	1	1
238.0	0	1	1
239.0	0	1	1
240.0	0	1	1
241.0	0	1	1
242.0	0	1	1
243.0	0	1	1
246.0	0	3	3
247.0	0	1	1
248.0	0	1	1
249.0	0	2	2
250.0	0	2	2
251.0	0	1	1
253.0	0	2	2
254.0	0	1	1
256.0	0	1	1
257.0	0	2	2
258.0	0	3	3
259.0	0	1	1
261.0	0	1	1
262.0	0	1	1
263.0	0	1	1
268.0	0	2	2
271.0	0	1	1
272.0	0	1	1
273.0	0	2	2
274.0	0	2	2
277.0	0	1	1
278.0	0	1	1
279.0	0	2	2
280.0	0	1	1
281.0	0	1	1
282.0	0	2	2
286.0	0	2	2
288.0	0	1	1
289.0	0	2	2
291.0	0	1	1
296.0	0	1	1
298.0	0	1	1
299.0	0	1	1
300.0	0	2	2
305.0	0	1	1
306.0	0	1	1
308.0	0	1	1
309.0	0	1	1
312.0	0	2	2
313.0	0	1	1
315.0	0	1	1
316.0	0	1	1
318.0	0	2	2
319.0	0	1	1
322.0	0	1	1
323.0	0	1	1
325.0	0	2	2
328.0	0	2	2
331.0	0	1	1
332.0	0	1	1
333.0	0	1	1
334.0	0	1	1
335.0	0	1	1
338.0	0	1	1
340.0	0	1	1
341.0	0	1	1
349.0	0	1	1
350.0	0	1	1
351.0	0	1	1
352.0	0	1	1
356.0	0	2	2
357.0	0	1	1
359.0	0	1	1
362.0	0	1	1
371.0	0	3	3
372.0	0	1	1
374.0	0	2	2
383.0	0	1	1
384.0	0	1	1
389.0	0	1	1
395.0	0	2	2
402.0	0	1	1
407.0	0	1	1
429.0	0	1	1
430.0	0	1	1
438.0	0	1	1
451.0	0	1	1
453.0	0	1	1
464.0	0	1	1
474.0	0	1	1
493.0	0	1	1
495.0	0	1	1
533.0	0	1	1
542.0	0	1	1
551.0	0	1	1
552.0	0	1	1
556.0	0	1	1
560.0	0	1	1
604.0	0	1	1
614.0	0	1	1
661.0	0	1	1
664.0	0	1	1
680.0	0	1	1
703.0	0	1	1
717.0	0	1	1
721.0	0	1	1
782.0	0	1	1
806.0	0	1	1
902.0	0	1	1
951.0	0	1	1
971.0	0	1	1
1086.0	0	1	1

