## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657872/SRR7657872.sorted.bam] OUTPUT=salmon/SRR7657872/SRR7657872.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657872/SRR7657872.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:49 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1654512	25624005	81382074	3969952	863966	5509723	0	0.224628	50696105

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16631410	16631410
2.0	1.603238	2692816	2692816
3.0	1.967134	486231	486231
4.0	2.18665	134480	134480
5.0	2.319071	57044	57044
6.0	2.398952	30657	30657
7.0	2.447139	19080	19080
8.0	2.476208	12676	12676
9.0	2.493743	9121	9121
10.0	2.504321	6690	6690
11.0	2.510702	4982	4982
12.0	2.514551	4037	4037
13.0	2.516873	3180	3180
14.0	2.518274	2558	2558
15.0	2.519119	2192	2192
16.0	2.519628	1794	1794
17.0	2.519936	1518	1518
18.0	2.520121	1283	1283
19.0	2.520233	1104	1104
20.0	2.520301	988	988
21.0	2.520342	824	824
22.0	2.520366	795	795
23.0	2.520381	673	673
24.0	2.52039	600	600
25.0	2.520395	510	510
26.0	2.520398	498	498
27.0	2.5204	429	429
28.0	2.520402	363	363
29.0	2.520402	341	341
30.0	2.520403	319	319
31.0	2.520403	329	329
32.0	2.520403	277	277
33.0	2.520403	245	245
34.0	2.520403	222	222
35.0	2.520403	234	234
36.0	2.520403	192	192
37.0	2.520403	166	166
38.0	2.520403	178	178
39.0	2.520403	164	164
40.0	2.520403	120	120
41.0	2.520403	127	127
42.0	2.520403	131	131
43.0	2.520403	113	113
44.0	2.520403	113	113
45.0	2.520403	103	103
46.0	2.520403	93	93
47.0	2.520403	90	90
48.0	2.520403	90	90
49.0	2.520403	98	98
50.0	2.520403	74	74
51.0	2.520403	81	81
52.0	2.520403	56	56
53.0	2.520403	73	73
54.0	2.520403	67	67
55.0	2.520403	60	60
56.0	2.520403	54	54
57.0	2.520403	44	44
58.0	2.520403	50	50
59.0	2.520403	52	52
60.0	2.520403	45	45
61.0	2.520403	44	44
62.0	2.520403	26	26
63.0	2.520403	39	39
64.0	2.520403	36	36
65.0	2.520403	52	52
66.0	2.520403	32	32
67.0	2.520403	40	40
68.0	2.520403	36	36
69.0	2.520403	33	33
70.0	2.520403	24	24
71.0	2.520403	31	31
72.0	2.520403	27	27
73.0	2.520403	22	22
74.0	2.520403	22	22
75.0	2.520403	30	30
76.0	2.520403	16	16
77.0	2.520403	25	25
78.0	2.520403	21	21
79.0	2.520403	21	21
80.0	2.520403	19	19
81.0	2.520403	23	23
82.0	2.520403	24	24
83.0	2.520403	21	21
84.0	2.520403	20	20
85.0	2.520403	17	17
86.0	2.520403	25	25
87.0	2.520403	11	11
88.0	2.520403	14	14
89.0	2.520403	16	16
90.0	2.520403	13	13
91.0	2.520403	13	13
92.0	2.520403	17	17
93.0	2.520403	10	10
94.0	2.520403	16	16
95.0	2.520403	11	11
96.0	2.520403	15	15
97.0	2.520403	11	11
98.0	2.520403	14	14
99.0	2.520403	5	5
100.0	2.520403	9	9
101.0	0	10	10
102.0	0	13	13
103.0	0	18	18
104.0	0	8	8
105.0	0	9	9
106.0	0	16	16
107.0	0	12	12
108.0	0	9	9
109.0	0	6	6
110.0	0	8	8
111.0	0	4	4
112.0	0	8	8
113.0	0	4	4
114.0	0	6	6
115.0	0	2	2
116.0	0	8	8
117.0	0	8	8
118.0	0	9	9
119.0	0	7	7
120.0	0	6	6
121.0	0	5	5
122.0	0	2	2
123.0	0	9	9
124.0	0	5	5
125.0	0	4	4
126.0	0	10	10
127.0	0	4	4
128.0	0	4	4
129.0	0	1	1
130.0	0	6	6
131.0	0	1	1
132.0	0	8	8
133.0	0	4	4
134.0	0	7	7
135.0	0	3	3
136.0	0	3	3
137.0	0	7	7
139.0	0	1	1
140.0	0	2	2
141.0	0	2	2
142.0	0	6	6
143.0	0	4	4
144.0	0	2	2
145.0	0	1	1
146.0	0	3	3
147.0	0	5	5
148.0	0	2	2
149.0	0	4	4
150.0	0	4	4
151.0	0	5	5
152.0	0	1	1
153.0	0	2	2
154.0	0	2	2
155.0	0	1	1
156.0	0	2	2
157.0	0	2	2
158.0	0	1	1
159.0	0	1	1
160.0	0	3	3
161.0	0	1	1
162.0	0	3	3
163.0	0	1	1
164.0	0	1	1
165.0	0	6	6
167.0	0	1	1
168.0	0	1	1
169.0	0	3	3
170.0	0	3	3
171.0	0	1	1
173.0	0	4	4
174.0	0	2	2
175.0	0	1	1
176.0	0	2	2
177.0	0	2	2
178.0	0	1	1
179.0	0	1	1
180.0	0	1	1
181.0	0	1	1
182.0	0	3	3
183.0	0	2	2
185.0	0	1	1
186.0	0	1	1
187.0	0	2	2
188.0	0	1	1
189.0	0	4	4
192.0	0	1	1
197.0	0	1	1
201.0	0	2	2
204.0	0	1	1
205.0	0	2	2
206.0	0	1	1
209.0	0	1	1
210.0	0	1	1
213.0	0	3	3
214.0	0	3	3
217.0	0	1	1
218.0	0	1	1
219.0	0	2	2
220.0	0	1	1
221.0	0	1	1
222.0	0	1	1
224.0	0	1	1
225.0	0	1	1
226.0	0	2	2
230.0	0	1	1
231.0	0	1	1
232.0	0	1	1
234.0	0	2	2
235.0	0	1	1
241.0	0	2	2
243.0	0	1	1
248.0	0	1	1
252.0	0	1	1
253.0	0	1	1
254.0	0	1	1
256.0	0	1	1
267.0	0	1	1
269.0	0	2	2
275.0	0	1	1
277.0	0	1	1
278.0	0	1	1
281.0	0	1	1
283.0	0	1	1
286.0	0	1	1
288.0	0	1	1
289.0	0	1	1
294.0	0	1	1
299.0	0	1	1
302.0	0	1	1
304.0	0	1	1
305.0	0	1	1
309.0	0	1	1
312.0	0	2	2
313.0	0	1	1
314.0	0	1	1
320.0	0	1	1
323.0	0	1	1
334.0	0	1	1
335.0	0	1	1
368.0	0	2	2
376.0	0	1	1
380.0	0	1	1
391.0	0	1	1
394.0	0	1	1
396.0	0	1	1
402.0	0	1	1
418.0	0	1	1
420.0	0	1	1
425.0	0	1	1
431.0	0	1	1
508.0	0	1	1
552.0	0	2	2
562.0	0	1	1
615.0	0	1	1
649.0	0	1	1
668.0	0	1	1
688.0	0	1	1
734.0	0	1	1

